REEF_SITE,BLEACH_MONTH,SURVEY_DATE,REEF_ZONE,TRANSECT_NO,COLONY_COUNT
ATL,bleach,23/06/24,CREST,3,2
ATL,bleach,24/07/24,CREST,1,1
ATL,post-bleach,08/09/24,FLAT,1,8
HS,bleach,11/07/24,CREST,1,2
HS,post-bleach,22/08/24,CREST,3,2
HS,post-bleach,13/09/24,FLAT,1,2
HS,post-bleach,13/09/24,FLAT,2,2
MH4,bleach,25/07/24,CREST,2,1
MH4,bleach,31/07/24,CREST,2,1
MH4,bleach,31/07/24,CREST,3,1
MH4,bleach,12/06/2024,FLAT,1,1
MH4,post-bleach,19/09/24,FLAT,1,4
MH4,post-bleach,19/09/24,FLAT,2,1
MH4,post-bleach,21/08/24,FLAT,1,1
MH4,post-bleach,21/08/24,FLAT,2,1
