REEF_SITE,SURVEY_DATE,REEF_ZONE,TRANSECT_NO,GENUS,BLEACH_STATUS,JUVE_PRESENCE,COLONY_COUNT
ATL,08/09/24,FLAT,1,Acropora,Not bleached,No,89
ATL,08/09/24,FLAT,1,Acropora,Not bleached,Yes,7
ATL,08/09/24,FLAT,1,Acropora,Partially bleached,No,22
ATL,08/09/24,FLAT,1,Pocillopora,Not bleached,No,16
ATL,08/09/24,FLAT,1,Pocillopora,Not bleached,Yes,1
ATL,08/09/24,FLAT,1,Pocillopora,Partially bleached,No,1
ATL,08/09/24,FLAT,1,Porites,Not bleached,No,2
ATL,09/06/2024,FLAT,1,Acropora,Not bleached,No,20
ATL,09/06/2024,FLAT,1,Acropora,Partially bleached,No,21
ATL,09/06/2024,FLAT,1,Pocillopora,Not bleached,No,16
ATL,09/06/2024,FLAT,1,Pocillopora,Partially bleached,No,7
ATL,09/06/2024,FLAT,1,Porites,Not bleached,No,3
ATL,09/06/2024,FLAT,2,Acropora,Fully bleached,No,11
ATL,09/06/2024,FLAT,2,Acropora,Not bleached,No,23
ATL,09/06/2024,FLAT,2,Acropora,Partially bleached,No,54
ATL,09/06/2024,FLAT,2,Pocillopora,Not bleached,No,23
ATL,09/06/2024,FLAT,2,Pocillopora,Partially bleached,No,3
ATL,09/06/2024,FLAT,2,Porites,Fully bleached,No,1
ATL,09/06/2024,FLAT,2,Porites,Not bleached,No,6
ATL,09/06/2024,FLAT,2,Porites,Partially bleached,No,3
ATL,20/06/2024,CREST,1,Pocillopora,Not bleached,No,3
ATL,20/06/2024,CREST,2,Acropora,Not bleached,No,1
ATL,20/06/2024,CREST,3,Acropora,Not bleached,No,7
ATL,20/06/2024,CREST,3,Acropora,Partially bleached,No,2
ATL,23/06/24,CREST,1,Acropora,Not bleached,No,12
ATL,23/06/24,CREST,1,Acropora,Partially bleached,No,23
ATL,23/06/24,CREST,1,Pocillopora,Not bleached,No,1
ATL,23/06/24,CREST,1,Porites,Not bleached,No,1
ATL,23/06/24,CREST,2,Acropora,Partially bleached,No,4
ATL,23/06/24,CREST,2,Pocillopora,Not bleached,No,2
ATL,23/06/24,CREST,3,Acropora,Not bleached,No,11
ATL,23/06/24,CREST,3,Acropora,Not bleached,Yes,1
ATL,23/06/24,CREST,3,Acropora,Partially bleached,No,8
ATL,23/06/24,CREST,3,Acropora,Partially bleached,Yes,1
ATL,23/06/24,CREST,3,Pocillopora,Not bleached,No,5
ATL,23/06/24,CREST,3,Pocillopora,Partially bleached,No,3
ATL,24/07/24,CREST,1,Acropora,Not bleached,No,7
ATL,24/07/24,CREST,1,Acropora,Not bleached,Yes,1
ATL,24/07/24,CREST,1,Acropora,Partially bleached,No,21
ATL,24/07/24,CREST,1,Pocillopora,Not bleached,No,2
ATL,24/07/24,CREST,1,Pocillopora,Partially bleached,No,4
ATL,24/07/24,CREST,2,Acropora,Fully bleached,No,1
ATL,24/07/24,CREST,2,Acropora,Not bleached,No,4
ATL,24/07/24,CREST,2,Acropora,Partially bleached,No,15
ATL,24/07/24,CREST,2,Pocillopora,Not bleached,No,4
ATL,24/07/24,CREST,3,Acropora,Not bleached,No,13
ATL,24/07/24,CREST,3,Acropora,Partially bleached,No,11
ATL,24/07/24,CREST,3,Pocillopora,Not bleached,No,1
ATL,24/07/24,CREST,3,Pocillopora,Partially bleached,No,2
ATL,28/08/24,FLAT,1,Acropora,Fully bleached,No,2
ATL,28/08/24,FLAT,1,Acropora,Not bleached,No,23
ATL,28/08/24,FLAT,1,Acropora,Partially bleached,No,137
ATL,28/08/24,FLAT,1,Pocillopora,Not bleached,No,13
ATL,28/08/24,FLAT,1,Pocillopora,Partially bleached,No,1
ATL,28/08/24,FLAT,1,Porites,Not bleached,No,2
HS,11/07/24,CREST,1,Acropora,Not bleached,No,10
HS,11/07/24,CREST,1,Acropora,Partially bleached,No,13
HS,11/07/24,CREST,1,Acropora,Partially bleached,Yes,2
HS,11/07/24,CREST,2,Acropora,Fully bleached,No,1
HS,11/07/24,CREST,2,Acropora,Not bleached,No,37
HS,11/07/24,CREST,2,Acropora,Partially bleached,No,26
HS,11/07/24,CREST,2,Pocillopora,Partially bleached,No,1
HS,13/09/24,FLAT,1,Acropora,Not bleached,No,60
HS,13/09/24,FLAT,1,Acropora,Not bleached,Yes,2
HS,13/09/24,FLAT,1,Acropora,Partially bleached,No,26
HS,13/09/24,FLAT,1,Pocillopora,Not bleached,No,55
HS,13/09/24,FLAT,1,Pocillopora,Partially bleached,No,3
HS,13/09/24,FLAT,2,Acropora,Not bleached,No,35
HS,13/09/24,FLAT,2,Acropora,Not bleached,Yes,1
HS,13/09/24,FLAT,2,Acropora,Partially bleached,No,16
HS,13/09/24,FLAT,2,Acropora,Partially bleached,Yes,1
HS,13/09/24,FLAT,2,Pocillopora,Not bleached,No,33
HS,13/09/24,FLAT,2,Pocillopora,Partially bleached,No,3
HS,20/07/24,CREST,1,Acropora,Not bleached,No,9
HS,20/07/24,CREST,1,Acropora,Partially bleached,No,18
HS,20/07/24,CREST,1,Pocillopora,Not bleached,No,2
HS,20/07/24,CREST,1,Pocillopora,Partially bleached,No,3
HS,20/07/24,CREST,2,Acropora,Fully bleached,No,1
HS,20/07/24,CREST,2,Acropora,Not bleached,No,12
HS,20/07/24,CREST,2,Acropora,Partially bleached,No,26
HS,20/07/24,CREST,2,Pocillopora,Partially bleached,No,2
HS,20/07/24,CREST,3,Acropora,Partially bleached,No,12
HS,20/07/24,CREST,3,Pocillopora,Partially bleached,No,2
HS,22/08/24,CREST,1,Acropora,Not bleached,No,20
HS,22/08/24,CREST,1,Acropora,Partially bleached,No,23
HS,22/08/24,CREST,1,Pocillopora,Not bleached,No,1
HS,22/08/24,CREST,1,Pocillopora,Partially bleached,No,1
HS,22/08/24,CREST,2,Acropora,Fully bleached,No,1
HS,22/08/24,CREST,2,Acropora,Not bleached,No,8
HS,22/08/24,CREST,2,Acropora,Partially bleached,No,24
HS,22/08/24,CREST,2,Pocillopora,Not bleached,No,2
HS,22/08/24,CREST,3,Acropora,Not bleached,No,7
HS,22/08/24,CREST,3,Acropora,Not bleached,Yes,2
HS,22/08/24,CREST,3,Acropora,Partially bleached,No,8
HS,22/08/24,CREST,3,Pocillopora,Not bleached,No,1
HS,22/08/24,CREST,3,Pocillopora,Partially bleached,No,1
MH4,04/08/24,CREST,1,Acropora,Not bleached,No,15
MH4,04/08/24,CREST,1,Acropora,Partially bleached,No,5
MH4,04/08/24,CREST,1,Pocillopora,Not bleached,No,2
MH4,04/08/24,CREST,1,Pocillopora,Partially bleached,No,4
MH4,04/08/24,CREST,2,Acropora,Not bleached,No,5
MH4,04/08/24,CREST,2,Acropora,Partially bleached,No,10
MH4,04/08/24,CREST,2,Pocillopora,Partially bleached,No,3
MH4,04/08/24,CREST,3,Acropora,Not bleached,No,54
MH4,04/08/24,CREST,3,Acropora,Partially bleached,No,6
MH4,04/08/24,CREST,3,Pocillopora,Not bleached,No,2
MH4,04/08/24,CREST,3,Pocillopora,Partially bleached,No,1
MH4,12/06/2024,FLAT,1,Acropora,Fully bleached,No,2
MH4,12/06/2024,FLAT,1,Acropora,Not bleached,No,4
MH4,12/06/2024,FLAT,1,Acropora,Partially bleached,No,1
MH4,12/06/2024,FLAT,1,Pocillopora,Fully bleached,No,1
MH4,12/06/2024,FLAT,1,Pocillopora,Not bleached,No,14
MH4,12/06/2024,FLAT,1,Pocillopora,Not bleached,Yes,1
MH4,12/06/2024,FLAT,1,Pocillopora,Partially bleached,No,16
MH4,12/06/2024,FLAT,1,Porites,Not bleached,No,1
MH4,19/09/24,FLAT,1,Acropora,Not bleached,No,17
MH4,19/09/24,FLAT,1,Acropora,Partially bleached,No,11
MH4,19/09/24,FLAT,1,Acropora,Partially bleached,Yes,2
MH4,19/09/24,FLAT,1,Pocillopora,Not bleached,No,161
MH4,19/09/24,FLAT,1,Pocillopora,Not bleached,Yes,1
MH4,19/09/24,FLAT,1,Pocillopora,Partially bleached,No,7
MH4,19/09/24,FLAT,1,Pocillopora,Partially bleached,Yes,1
MH4,19/09/24,FLAT,1,Porites,Not bleached,No,4
MH4,19/09/24,FLAT,2,Acropora,Not bleached,No,11
MH4,19/09/24,FLAT,2,Acropora,Partially bleached,No,11
MH4,19/09/24,FLAT,2,Acropora,Partially bleached,Yes,1
MH4,19/09/24,FLAT,2,Pocillopora,Not bleached,No,35
MH4,19/09/24,FLAT,2,Pocillopora,Partially bleached,No,6
MH4,19/09/24,FLAT,2,Porites,Not bleached,No,1
MH4,21/08/24,FLAT,1,Acropora,Not bleached,No,20
MH4,21/08/24,FLAT,1,Acropora,Partially bleached,No,7
MH4,21/08/24,FLAT,1,Pocillopora,Not bleached,No,26
MH4,21/08/24,FLAT,1,Pocillopora,Not bleached,Yes,1
MH4,21/08/24,FLAT,1,Pocillopora,Partially bleached,No,15
MH4,21/08/24,FLAT,1,Porites,Not bleached,No,32
MH4,21/08/24,FLAT,2,Acropora,Not bleached,No,5
MH4,21/08/24,FLAT,2,Acropora,Partially bleached,No,41
MH4,21/08/24,FLAT,2,Pocillopora,Not bleached,No,8
MH4,21/08/24,FLAT,2,Pocillopora,Partially bleached,No,5
MH4,21/08/24,FLAT,2,Pocillopora,Partially bleached,Yes,1
MH4,25/07/24,CREST,1,Acropora,Not bleached,No,28
MH4,25/07/24,CREST,1,Acropora,Partially bleached,No,20
MH4,25/07/24,CREST,1,Pocillopora,Not bleached,No,1
MH4,25/07/24,CREST,1,Pocillopora,Partially bleached,No,1
MH4,25/07/24,CREST,2,Acropora,Not bleached,No,9
MH4,25/07/24,CREST,2,Acropora,Partially bleached,No,9
MH4,25/07/24,CREST,2,Acropora,Partially bleached,Yes,1
MH4,25/07/24,CREST,2,Pocillopora,Partially bleached,No,1
MH4,25/07/24,CREST,3,Acropora,Not bleached,No,5
MH4,25/07/24,CREST,3,Acropora,Partially bleached,No,4
MH4,25/07/24,CREST,3,Pocillopora,Not bleached,No,1
MH4,25/07/24,CREST,3,Pocillopora,Partially bleached,No,1
MH4,31/07/24,CREST,1,Acropora,Not bleached,No,7
MH4,31/07/24,CREST,1,Acropora,Partially bleached,No,9
MH4,31/07/24,CREST,1,Pocillopora,Not bleached,No,3
MH4,31/07/24,CREST,1,Pocillopora,Partially bleached,No,3
MH4,31/07/24,CREST,2,Acropora,Not bleached,No,33
MH4,31/07/24,CREST,2,Acropora,Partially bleached,No,16
MH4,31/07/24,CREST,2,Pocillopora,Not bleached,Yes,1
MH4,31/07/24,CREST,2,Pocillopora,Partially bleached,No,1
MH4,31/07/24,CREST,3,Acropora,Not bleached,No,103
MH4,31/07/24,CREST,3,Acropora,Partially bleached,No,42
MH4,31/07/24,CREST,3,Acropora,Partially bleached,Yes,1
MH4,31/07/24,CREST,3,Pocillopora,Not bleached,No,1
MH4,31/07/24,CREST,3,Pocillopora,Partially bleached,No,2
