REEF_SITE,BLEACH_MONTH,SURVEY_DATE,REEF_ZONE,TRANSECT_NO,GENUS,PERCENT_COVER
ATL,pre-bleach,09/02/2024,CREST,1,ACROPORA,1
ATL,pre-bleach,09/02/2024,CREST,1,GONIASTREA,0
ATL,pre-bleach,09/02/2024,CREST,1,DIPSASTRAEA,3
ATL,pre-bleach,09/02/2024,CREST,1,FAVITES,0
ATL,pre-bleach,09/02/2024,CREST,1,GALAXEA,0
ATL,pre-bleach,09/02/2024,CREST,1,GONIASTREA,3
ATL,pre-bleach,09/02/2024,CREST,1,GONIOPORA,5
ATL,pre-bleach,09/02/2024,CREST,1,LOBOPHYLLIA,1
ATL,pre-bleach,09/02/2024,CREST,1,MERULINA,0
ATL,pre-bleach,09/02/2024,CREST,1,MONTIPORA,20
ATL,pre-bleach,09/02/2024,CREST,1,PACHYSERIS,0
ATL,pre-bleach,09/02/2024,CREST,1,PAVONA,1
ATL,pre-bleach,09/02/2024,CREST,1,PLATYGYRA,1
ATL,pre-bleach,09/02/2024,CREST,1,POCILLOPORA,1
ATL,pre-bleach,09/02/2024,CREST,1,PORITES,19
ATL,pre-bleach,09/02/2024,CREST,2,ACROPORA,3
ATL,pre-bleach,09/02/2024,CREST,2,GONIASTREA,0
ATL,pre-bleach,09/02/2024,CREST,2,DIPSASTRAEA,1
ATL,pre-bleach,09/02/2024,CREST,2,FAVITES,1
ATL,pre-bleach,09/02/2024,CREST,2,GALAXEA,0
ATL,pre-bleach,09/02/2024,CREST,2,GONIASTREA,0
ATL,pre-bleach,09/02/2024,CREST,2,GONIOPORA,4
ATL,pre-bleach,09/02/2024,CREST,2,LOBOPHYLLIA,1
ATL,pre-bleach,09/02/2024,CREST,2,MERULINA,0
ATL,pre-bleach,09/02/2024,CREST,2,MONTIPORA,27
ATL,pre-bleach,09/02/2024,CREST,2,PACHYSERIS,0
ATL,pre-bleach,09/02/2024,CREST,2,PAVONA,5
ATL,pre-bleach,09/02/2024,CREST,2,PLATYGYRA,2
ATL,pre-bleach,09/02/2024,CREST,2,POCILLOPORA,2
ATL,pre-bleach,09/02/2024,CREST,2,PORITES,14
