REEF_SITE,MONTH,SURVEY_DATE,REEF_ZONE,TRANSECT_NO,PERCENT_LCC
ATL,APR,06/04/2024,CREST,1,56
ATL,APR,06/04/2024,CREST,2,55
ATL,APR,06/04/2024,CREST,3,66
ATL,APR,07/04/2024,FLAT,1,73
ATL,APR,07/04/2024,FLAT,2,67
ATL,APR,07/04/2024,FLAT,3,76
ATL,APR,18/04/2024,FLAT,1,62
ATL,APR,18/04/2024,FLAT,2,60
ATL,APR,18/04/2024,FLAT,3,55
ATL,AUG,03/08/2024,CREST,1,38
ATL,AUG,03/08/2024,CREST,2,36
ATL,AUG,03/08/2024,CREST,3,42
ATL,AUG,07/08/2024,CREST,1,39
ATL,AUG,07/08/2024,CREST,2,35
ATL,AUG,07/08/2024,CREST,3,35
ATL,AUG,23/08/2024,CREST,1,32
ATL,AUG,23/08/2024,CREST,2,36
ATL,AUG,23/08/2024,CREST,3,45
ATL,FEB,09/02/2024,CREST,1,58
ATL,FEB,09/02/2024,CREST,2,60
ATL,FEB,09/02/2024,CREST,3,60
ATL,JUL,10/07/2024,CREST,1,32
ATL,JUL,10/07/2024,CREST,2,36
ATL,JUL,10/07/2024,CREST,3,30
ATL,JUL,13/07/2024,CREST,1,58
ATL,JUL,13/07/2024,CREST,2,34
ATL,JUL,13/07/2024,CREST,3,29
ATL,JUL,24/07/2024,CREST,1,40
ATL,JUL,24/07/2024,CREST,2,26
ATL,JUL,24/07/2024,CREST,3,46
ATL,JUN,01/06/2024,CREST,1,22
ATL,JUN,01/06/2024,CREST,2,32
ATL,JUN,07/06/2024,FLAT,1,47
ATL,JUN,07/06/2024,FLAT,2,45
ATL,JUN,07/06/2024,FLAT,3,48
ATL,JUN,19/06/2024,FLAT,1,44
ATL,JUN,19/06/2024,FLAT,2,52
ATL,JUN,19/06/2024,FLAT,3,49
ATL,JUN,23/06/2024,CREST,1,27
ATL,JUN,23/06/2024,CREST,2,34
ATL,JUN,23/06/2024,CREST,3,37
ATL,MAR,09/03/2024,CREST,1,61
ATL,MAR,09/03/2024,CREST,2,56
ATL,MAR,09/03/2024,CREST,3,60
ATL,MAR,21/03/2024,FLAT,1,67
ATL,MAR,21/03/2024,FLAT,2,70
ATL,MAR,21/03/2024,FLAT,3,37
ATL,MAY,15/05/2024,CREST,1,41
ATL,MAY,15/05/2024,CREST,2,42
ATL,MAY,15/05/2024,CREST,3,42
ATL,OCT,16/10/2024,CREST,1,49
ATL,OCT,16/10/2024,CREST,2,37
ATL,OCT,16/10/2024,CREST,3,42
ATL,OCT,25/10/2024,CREST,1,59
ATL,OCT,25/10/2024,CREST,2,38
ATL,OCT,25/10/2024,CREST,3,36
ATL,SEP,07/09/2024,FLAT,1,31
ATL,SEP,07/09/2024,FLAT,2,37
ATL,SEP,08/09/2024,CREST,1,36
ATL,SEP,08/09/2024,CREST,2,24
ATL,SEP,08/09/2024,CREST,3,46
ATL,SEP,13/09/2024,FLAT,1,52
ATL,SEP,13/09/2024,FLAT,2,42
ATL,SEP,13/09/2024,FLAT,3,42
ATL,SEP,15/09/2024,FLAT,1,49
